Date,SiteID,value
2019-11-15,NSCC,445.4
2019-11-16,RCC,0.0
2019-11-16,SID,0.0
2019-11-16,BWCC,0.0
2019-11-16,AFRD2,0.0
2019-11-16,TFCC,33.06803075763795
2019-11-16,SWID,39.774256
2019-11-16,NSCC,442.36
2019-11-17,RCC,0.0
2019-11-17,SID,0.0
2019-11-17,BWCC,0.0
2019-11-17,AFRD2,0.0
2019-11-17,TFCC,33.06803075763795
2019-11-17,SWID,39.774256
2019-11-17,NSCC,445.4
2019-11-18,RCC,0.0
2019-11-18,SID,0.0
2019-11-18,BWCC,0.0
2019-11-18,AFRD2,0.0
2019-11-18,TFCC,33.06803075763795
2019-11-18,SWID,39.774256
2019-11-18,NSCC,445.4
2019-11-19,RCC,0.0
2019-11-19,SID,0.0
2019-11-19,BWCC,0.0
2019-11-19,AFRD2,0.0
2019-11-19,TFCC,33.06803075763795
2019-11-19,SWID,44.651348
2019-11-19,NSCC,442.36
2019-11-20,RCC,0.0
2019-11-20,SID,0.0
2019-11-20,BWCC,0.0
2019-11-20,AFRD2,0.0
2019-11-20,TFCC,33.06803075763795
2019-11-20,SWID,44.651348
2019-11-20,NSCC,442.36
2019-11-21,RCC,0.0
2019-11-21,SID,0.0
2019-11-21,BWCC,0.0
2019-11-21,AFRD2,0.0
2019-11-21,TFCC,30.91283329056914
2019-11-21,SWID,44.651348
2019-11-21,NSCC,510.87
2019-11-22,RCC,0.0
2019-11-22,SID,0.0
2019-11-22,BWCC,0.0
2019-11-22,AFRD2,0.0
2019-11-22,TFCC,30.91283329056914
2019-11-22,SWID,44.651348
2019-11-22,NSCC,539.89
2019-11-23,RCC,0.0
2019-11-23,SID,0.0
2019-11-23,BWCC,0.0
2019-11-23,AFRD2,0.0
2019-11-23,TFCC,30.91283329056914
2019-11-23,SWID,44.651348
2019-11-23,NSCC,539.89
2019-11-24,RCC,0.0
2019-11-24,SID,0.0
2019-11-24,BWCC,0.0
2019-11-24,AFRD2,0.0
2019-11-24,TFCC,28.813885373749002
2019-11-24,SWID,44.651348
2019-11-24,NSCC,533.39
2019-11-25,RCC,0.0
2019-11-25,SID,0.0
2019-11-25,BWCC,0.0
2019-11-25,AFRD2,0.0
2019-11-25,TFCC,28.813885373749002
2019-11-25,SWID,44.651348
2019-11-25,NSCC,530.15
2019-11-26,RCC,0.0
2019-11-26,SID,0.0
2019-11-26,BWCC,0.0
2019-11-26,AFRD2,0.0
2019-11-26,TFCC,28.813885373749002
2019-11-26,SWID,48.756437999999996
2019-11-26,NSCC,530.15
2019-11-27,RCC,0.0
2019-11-27,SID,0.0
2019-11-27,BWCC,0.0
2019-11-27,AFRD2,0.0
2019-11-27,TFCC,15.782073683856046
2019-11-27,SWID,48.756437999999996
2019-11-27,NSCC,504.5
2019-11-28,RCC,0.0
2019-11-28,SID,0.0
2019-11-28,BWCC,0.0
2019-11-28,AFRD2,0.0
2019-11-28,TFCC,0.0
2019-11-28,SWID,48.756437999999996
2019-11-28,NSCC,491.84
2019-11-29,RCC,0.0
2019-11-29,SID,0.0
2019-11-29,BWCC,0.0
2019-11-29,AFRD2,0.0
2019-11-29,TFCC,0.0
2019-11-29,SWID,48.756437999999996
2019-11-29,NSCC,488.69
2019-11-30,RCC,0.0
2019-11-30,SID,0.0
2019-11-30,BWCC,0.0
2019-11-30,AFRD2,0.0
2019-11-30,TFCC,0.0
2019-11-30,SWID,48.756437999999996
2019-11-30,NSCC,485.55
2019-12-01,RCC,0.0
2019-12-01,ASCC,0.0
2019-12-01,NSID,0.0
2019-12-01,IID,0.0
2019-12-01,PID,0.0
2019-12-01,SID,0.0
2019-12-01,SRVID,0.0
2019-12-01,FFIC,0.0
2019-12-01,ECC,0.0
2019-12-01,FMID,0.0
2019-12-01,GFCC,0.0
2019-12-01,BWCC,0.0
2019-12-01,AFRD2,0.0
2019-12-01,TFCC,0.0
2019-12-01,SWID,48.756437999999996
2019-12-01,NSCC,485.55
2019-12-02,RCC,0.0
2019-12-02,ASCC,0.0
2019-12-02,NSID,0.0
2019-12-02,IID,0.0
2019-12-02,PID,0.0
2019-12-02,SID,0.0
2019-12-02,SRVID,0.0
2019-12-02,FFIC,0.0
2019-12-02,ECC,0.0
2019-12-02,FMID,0.0
2019-12-02,GFCC,0.0
2019-12-02,BWCC,0.0
2019-12-02,AFRD2,0.0
2019-12-02,TFCC,0.0
2019-12-02,SWID,48.756437999999996
2019-12-02,NSCC,415.36
2019-12-03,RCC,0.0
2019-12-03,ASCC,0.0
2019-12-03,NSID,0.0
2019-12-03,IID,0.0
2019-12-03,PID,0.0
2019-12-03,SID,0.0
2019-12-03,SRVID,0.0
2019-12-03,FFIC,0.0
2019-12-03,ECC,0.0
2019-12-03,FMID,0.0
2019-12-03,GFCC,0.0
2019-12-03,BWCC,0.0
2019-12-03,AFRD2,0.0
2019-12-03,TFCC,0.0
2019-12-03,SWID,48.756437999999996
2019-12-03,NSCC,374.57
2019-12-04,RCC,0.0
2019-12-04,ASCC,0.0
2019-12-04,NSID,0.0
2019-12-04,IID,0.0
2019-12-04,PID,0.0
2019-12-04,SID,0.0
2019-12-04,SRVID,0.0
2019-12-04,FFIC,0.0
2019-12-04,ECC,0.0
2019-12-04,FMID,0.0
2019-12-04,GFCC,0.0
2019-12-04,BWCC,0.0
2019-12-04,AFRD2,0.0
2019-12-04,TFCC,0.0
2019-12-04,SWID,48.756437999999996
2019-12-04,NSCC,374.57
2019-12-05,RCC,0.0
2019-12-05,ASCC,0.0
2019-12-05,NSID,0.0
2019-12-05,IID,0.0
2019-12-05,PID,0.0
2019-12-05,SID,0.0
2019-12-05,SRVID,0.0
2019-12-05,FFIC,0.0
2019-12-05,ECC,0.0
2019-12-05,FMID,0.0
2019-12-05,GFCC,0.0
2019-12-05,BWCC,0.0
2019-12-05,AFRD2,0.0
2019-12-05,TFCC,0.0
2019-12-05,SWID,48.756437999999996
2019-12-05,NSCC,374.57
2019-12-06,RCC,0.0
2019-12-06,ASCC,0.0
2019-12-06,NSID,0.0
2019-12-06,IID,0.0
2019-12-06,PID,0.0
2019-12-06,SID,0.0
2019-12-06,SRVID,0.0
2019-12-06,FFIC,0.0
2019-12-06,ECC,0.0
2019-12-06,FMID,0.0
2019-12-06,GFCC,0.0
2019-12-06,BWCC,0.0
2019-12-06,AFRD2,0.0
2019-12-06,TFCC,0.0
2019-12-06,SWID,48.756437999999996
2019-12-06,NSCC,368.86
2019-12-07,RCC,0.0
2019-12-07,ASCC,0.0
2019-12-07,NSID,0.0
2019-12-07,IID,0.0
2019-12-07,PID,0.0
2019-12-07,SID,0.0
2019-12-07,SRVID,0.0
2019-12-07,FFIC,0.0
2019-12-07,ECC,0.0
2019-12-07,FMID,0.0
2019-12-07,GFCC,0.0
2019-12-07,BWCC,0.0
2019-12-07,AFRD2,0.0
2019-12-07,TFCC,0.0
2019-12-07,SWID,48.756437999999996
2019-12-07,NSCC,366.02
2019-12-08,RCC,0.0
2019-12-08,ASCC,0.0
2019-12-08,NSID,0.0
2019-12-08,IID,0.0
2019-12-08,PID,0.0
2019-12-08,SID,0.0
2019-12-08,SRVID,0.0
2019-12-08,FFIC,0.0
2019-12-08,ECC,0.0
2019-12-08,FMID,0.0
2019-12-08,GFCC,0.0
2019-12-08,BWCC,0.0
2019-12-08,AFRD2,0.0
2019-12-08,TFCC,0.0
